Name,dataset,text_modality,graph_modality,numerical_modality,numerical_version,model_with_intermediate_layer,model_with_tensorfusion_network,model_with_lowrank_tensorfusion_network,val/f1_mean,val/f1_std,test/loss_mean,test/loss_std,test/acc_mean,test/acc_std,test/prec_mean,test/prec_std,test/rec_mean,test/rec_std,test/f1_mean,test/f1_std,test/auroc_mean,test/auroc_std
TextModule2041646185,bioinfer,True,False,False,,,,,0.8399168252944946,0,0.2963909804821014,0,0.9378654956817628,0,0.79296875,0,0.8638297915458679,0,0.8268839120864868,0,0.9593453407287598,0
TextAndGraphModule1232050371,bioinfer,True,True,False,,,,,0.8673683404922485,0,0.2842950224876404,0,0.95175439119339,0,0.8477365970611572,0,0.8765957355499268,0,0.8619246482849121,0,0.975508451461792,0
TextAndNumModule4205880275,bioinfer,True,False,True,Ver1_100,True,,,0.8305785059928894,0,0.2027046233415603,0,0.9415204524993896,0,0.7902621626853943,0,0.8978723287582397,0,0.8406375050544739,0,0.978265106678009,0
TextAndNumModule1518320377,bioinfer,True,False,True,Ver1_100,False,,,0.8670757412910461,0,0.2876152992248535,0,0.9429824352264404,0,0.8054474592208862,0,0.8808510899543762,0,0.8414633870124817,0,0.9660382270812988,0
TextAndNumModule2314209576,bioinfer,True,False,True,Ver1_180,True,,,0.8282827734947205,0,0.2700656056404114,0,0.9407894611358644,0,0.7851851582527161,0,0.9021276831626892,0,0.8396039605140686,0,0.9705751538276672,0
TextAndNumModule2351300565,bioinfer,True,False,True,Ver1_180,False,,,0.8399168252944946,0,0.3101597726345062,0,0.938596487045288,0,0.7984189987182617,0,0.8595744967460632,0,0.8278688788414001,0,0.962254285812378,0
TextAndNumModule576874112,bioinfer,True,False,True,Ver2_100,True,,,0.8456659317016602,0,0.2288790494203567,0,0.9429824352264404,0,0.8230452537536621,0,0.8510638475418091,0,0.836820125579834,0,0.9753920435905457,0
TextAndNumModule3784997873,bioinfer,True,False,True,Ver2_100,False,,,0.8607594966888428,0,0.302350640296936,0,0.9429824352264404,0,0.8127490282058716,0,0.8680850863456726,0,0.839506208896637,0,0.9644419550895692,0
TextAndNumModule3862446142,bioinfer,True,False,True,Ver2_300,True,,,0.838056743144989,0,0.2114530801773071,0,0.9400584697723388,0,0.7908745408058167,0,0.8851063847541809,0,0.8353413343429565,0,0.97088885307312,0
TextAndGraphAndNumModule3734542554,bioinfer,True,True,True,Ver1_100,True,False,False,0.8559322357177734,0,0.2299528568983078,0,0.9459064602851868,0,0.8285714387893677,0,0.8638297915458679,0,0.8458333611488342,0,0.9674898982048036,0
TextAndNumModule1365562137,bioinfer,True,False,True,Ver2_300,False,,,0.8437500596046448,0,0.3856777548789978,0,0.9334795475006104,0,0.751748263835907,0,0.914893627166748,0,0.8253359198570251,0,0.9669621586799622,0
TextAndGraphAndNumModule2255585497,bioinfer,True,True,True,Ver1_100,False,False,False,0.855949878692627,0,0.2539235055446625,0,0.9473684430122375,0,0.827309250831604,0,0.8765957355499268,0,0.8512396216392517,0,0.9763159155845642,0
TextAndNumModule2921709819,bioinfer,True,False,True,Ver2_500,True,,,0.8270042538642883,0,0.3319060206413269,0,0.938596487045288,0,0.8032128810882568,0,0.8510638475418091,0,0.8264463543891907,0,0.9607087969779968,0
TextAndGraphAndNumModule1122921693,bioinfer,True,True,True,Ver1_180,True,False,False,0.8354430794715881,0,0.2996708750724792,0,0.9356725215911864,0,0.7975708246231079,0,0.8382978439331055,0,0.817427396774292,0,0.964297354221344,0
TextAndNumModule3063177506,bioinfer,True,False,True,Ver2_500,False,,,0.8517745137214661,0,0.3531245589256286,0,0.942251443862915,0,0.8095238208770752,0,0.8680850863456726,0,0.8377822637557983,0,0.963998794555664,0
GraphModule953741191,bioinfer,False,True,False,,,,,0.0,0,0.6453343033790588,0,0.8282163739204407,0,0.0,0,0.0,0,0.0,0,0.4578186273574829,0
GraphAndNumModule1925145700,bioinfer,False,True,True,Ver1_100,,,,0.1952277570962906,0,0.6574711203575134,0,0.7185672521591187,0,0.1739130467176437,0,0.1702127605676651,0,0.1720430105924606,0,0.4797787666320801,0
GraphAndNumModule3870484935,bioinfer,False,True,True,Ver1_180,,,,0.2392344623804092,0,0.6630294322967529,0,0.667397677898407,0,0.1927374303340912,0,0.2936170101165771,0,0.2327150106430053,0,0.4857542514801025,0
GraphAndNumModule2381751698,bioinfer,False,True,True,Ver2_100,,,,0.190265491604805,0,0.6530359983444214,0,0.7317251563072205,0,0.1826923042535781,0,0.1617021262645721,0,0.1715575605630874,0,0.4940451979637146,0
GraphAndNumModule2838809240,bioinfer,False,True,True,Ver2_300,,,,0.1906250119209289,0,0.6631413698196411,0,0.667397677898407,0,0.2120418846607208,0,0.3446808457374573,0,0.2625607550144195,0,0.5085538625717163,0
GraphAndNumModule1398089657,bioinfer,False,True,True,Ver2_500,,,,0.1517857164144516,0,0.6445608139038086,0,0.7397660613059998,0,0.1657458543777465,0,0.1276595741510391,0,0.1442307829856872,0,0.5007267594337463,0
NumModule3322006616,bioinfer,False,False,True,Ver1_100,,,,0.1785063743591308,0,0.6690006852149963,0,0.6681286692619324,0,0.1313131302595138,0,0.1659574508666992,0,0.1466165333986282,0,0.4861016571521759,0
NumModule4159767890,bioinfer,False,False,True,Ver1_180,,,,0.122448980808258,0,0.665311872959137,0,0.7441520690917969,0,0.1192052960395813,0,0.0765957459807396,0,0.0932642444968223,0,0.4569228589534759,0
NumModule1970956284,bioinfer,False,False,True,Ver2_100,,,,0.1751824766397476,0,0.6595055460929871,0,0.6951754093170166,0,0.1795774698257446,0,0.2170212715864181,0,0.1965317875146865,0,0.5133349895477295,0
NumModule1673311624,bioinfer,False,False,True,Ver2_300,,,,0.1643835604190826,0,0.6476030945777893,0,0.7448830604553223,0,0.1686046570539474,0,0.1234042569994926,0,0.1425061523914337,0,0.5027961730957031,0
NumModule1164056764,bioinfer,False,False,True,Ver2_500,,,,0.1449275314807891,0,0.4274938106536865,0,0.8296783566474915,0,0.5416666865348816,0,0.0553191490471363,0,0.1003861054778099,0,0.6917354464530945,0
TextAndGraphAndNumModule2153238588,bioinfer,True,True,True,Ver1_180,False,False,False,0.8469602465629578,0,0.3210119605064392,0,0.9437134265899658,0,0.8211382031440735,0,0.8595744967460632,0,0.8399168252944946,0,0.966274917125702,0
TextAndGraphAndNumModule3632150370,bioinfer,True,True,True,Ver2_100,True,False,False,0.8469602465629578,0,0.2755258083343506,0,0.9459064602851868,0,0.823293149471283,0,0.8723404407501221,0,0.8471074104309082,0,0.9675218462944032,0
TextAndGraphAndNumModule2954109627,bioinfer,True,True,True,Ver2_100,False,False,False,0.8511530756950378,0,0.2817420661449432,0,0.9415204524993896,0,0.8297872543334961,0,0.8297872543334961,0,0.8297872543334961,0,0.9659292697906494,0
TextAndGraphAndNumModule418548438,bioinfer,True,True,True,Ver2_300,True,False,False,0.8425531983375549,0,0.2384799718856811,0,0.9393274784088136,0,0.8064516186714172,0,0.8510638475418091,0,0.828157365322113,0,0.9676137566566468,0
TextAndGraphAndNumModule790435657,bioinfer,True,True,True,Ver2_300,False,False,False,0.8528785109519958,0,0.2761529088020324,0,0.9466374516487122,0,0.8374999761581421,0,0.8553191423416138,0,0.8463157415390015,0,0.9673978686332704,0
TextAndGraphAndNumModule2000282779,bioinfer,True,True,True,Ver2_500,True,False,False,0.8060344457626343,0,0.2324607819318771,0,0.9393274784088136,0,0.8040000200271606,0,0.8553191423416138,0,0.8288660049438477,0,0.9634749293327332,0
TextAndGraphAndNumModule3350065632,bioinfer,True,True,True,Ver2_500,False,False,False,0.8458333015441895,0,0.2594671547412872,0,0.9444444179534912,0,0.8093385100364685,0,0.8851063847541809,0,0.8455284237861633,0,0.962188482284546,0
