Name,Start Time,Duration,Run ID,Source Type,Status,dataset__target_,dataset_batch_size,dataset_max_seq_len,dataset_num_workers,dataset_pin_memory,dataset_pretrained_path,dataset_thereshold,model__target_,model_amino_vocab_size,model_batch_size,model_condense_graph_dim,model_condense_num_dim,model_condense_text_dim,model_dropout_prob,model_eps,model_lr,model_max_epochs,model_node_dim,model_num_feature_dim,model_num_gnn_layers,model_post_fusion_dim,model_post_fusion_dropout_prob,model_pretrained_path,model_rank,model_train_size,model_warmup_epoch,model_weight_decay,model_with_intermediate_layer,model_with_lowrank_tensorfusion_network,model_with_lstm,model_with_tensorfusion_network,trainer__target_,trainer_accelerator,trainer_accumulate_grad_batches,trainer_gpus,trainer_max_epochs,trainer_min_epochs,trainer_progress_bar_refresh_rate,trainer_resume_from_checkpoint,trainer_weights_summary,test/acc_mean,test/acc_std,test/auroc_mean,test/auroc_std,test/f1_mean,test/f1_std,test/loss_mean,test/loss_std,test/prec_mean,test/prec_std,test/rec_mean,test/rec_std,val/f1_mean,val/f1_std
TextAndGraphAndNumModule584602685,2022-03-06 16:07:22,139ms,ba846b1bb8004d2baac8f8f556761fef,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,8,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,500.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,2586,5,0.01,False,False,False,True,pytorch_lightning.Trainer,ddp,2.0,2,20,1,5,None,None,0.9615384340286256,0,,,0.7058824300765991,0,0.1691503375768661,0,0.8571428656578064,0,0.6000000238418579,0,0.761904776096344,0
TextAndGraphAndNumModule704695666,2022-03-06 15:34:00,87ms,5bf5a4ee35a6466eaf05492217c74d4e,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,8,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,500.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,2586,5,0.01,False,True,False,False,pytorch_lightning.Trainer,ddp,2.0,2,20,1,5,None,None,0.9384615421295166,0,,,0.6000000238418579,0,0.1906309723854065,0,0.6000000238418579,0,0.6000000238418579,0,0.6956521272659302,0
TextAndGraphAndNumModule1542837352,2022-03-06 15:07:21,84ms,0b28270b083b496392a47fac0dafcb8d,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,8,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,300.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,2586,5,0.01,False,False,False,True,pytorch_lightning.Trainer,ddp,2.0,2,20,1,5,None,None,0.9346153736114502,0,,,0.604651153087616,0,0.278484046459198,0,0.5652173757553101,0,0.6499999761581421,0,0.7826087474822998,0
TextAndGraphAndNumModule2957321685,2022-03-06 14:34:29,87ms,421671ca90b54d2a87d62d166b1cbc41,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,8,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,300.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,2586,5,0.01,False,True,False,False,pytorch_lightning.Trainer,ddp,2.0,2,20,1,5,None,None,0.9384615421295166,0,,,0.5555555820465088,0,0.1736549288034439,0,0.625,0,0.5,0,0.4545454680919647,0
TextAndGraphAndNumModule2277072670,2022-03-06 14:08:09,87ms,f396d23a459a4d6e83ecc8c0593cdead,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,8,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,100.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,2586,5,0.01,False,False,False,True,pytorch_lightning.Trainer,ddp,2.0,2,20,1,5,None,None,0.957692325115204,0,,,0.7179486751556396,0,0.1687214374542236,0,0.7368420958518982,0,0.699999988079071,0,0.7272727489471436,0
TextAndGraphAndNumModule3172939911,2022-03-06 13:36:49,85ms,ed7137f7a8c4498fa13cbba32d7cfa37,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,8,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,100.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,2586,5,0.01,False,True,False,False,pytorch_lightning.Trainer,ddp,2.0,2,20,1,5,None,None,0.949999988079071,0,,,0.6829268336296082,0,0.2047582268714904,0,0.6666666865348816,0,0.699999988079071,0,0.6956521272659302,0
TextAndGraphAndNumModule3165275788,2022-03-06 13:11:05,85ms,3ed297052f82454891d9f556bcc66653,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,8,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,180.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,2586,5,0.01,False,False,False,True,pytorch_lightning.Trainer,ddp,2.0,2,20,1,5,None,None,0.9538461565971376,0,,,0.6470587849617004,0,0.1837644428014755,0,0.7857142686843872,0,0.550000011920929,0,0.761904776096344,0
TextAndGraphAndNumModule1370465118,2022-03-06 12:39:34,82ms,4310b0fc4da3453e9889f7a5d5e88ace,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,8,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,180.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,2586,5,0.01,False,True,False,False,pytorch_lightning.Trainer,ddp,2.0,2,20,1,5,None,None,0.942307710647583,0,,,0.5714285373687744,0,0.1697999835014343,0,0.6666666865348816,0,0.5,0,0.5925926566123962,0
TextAndGraphAndNumModule3616029306,2022-03-06 12:13:49,84ms,db2fde2a067f45b782db4d8568978b14,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,8,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,100.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,2586,5,0.01,False,False,False,True,pytorch_lightning.Trainer,ddp,2.0,2,20,1,5,None,None,0.965384602546692,0,,,0.7567567825317383,0,0.1553617268800735,0,0.8235294222831726,0,0.699999988079071,0,0.761904776096344,0
TextAndGraphAndNumModule103682081,2022-03-06 11:42:28,95ms,0d37a9c8c0f14df4874aeb53799e987d,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,8,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,100.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,2586,5,0.01,False,True,False,False,pytorch_lightning.Trainer,ddp,2.0,2,20,1,5,None,None,0.9346153736114502,0,,,0.5405405163764954,0,0.1741028428077697,0,0.5882353186607361,0,0.5,0,0.6315789222717285,0
TextModule3042129034,2022-03-03 09:25:49,67ms,1856ca038f2a4279a3c2b0369c820e57,LOCAL,FINISHED,src.datamodules.text_datamodule.TextDatasetModule,16,256.0,0,False,dmis-lab/biobert-v1.1,,src.models.text_model.TextModule,,32,,,,,1e-08,5e-05,20,,,,,,dmis-lab/biobert-v1.1,,2586,5,0.01,,,False,,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.9730769395828248,0,0.9756250381469728,0.0,0.7999999523162842,0,0.122917428612709,0,0.9333333373069764,0,0.699999988079071,0,0.8181817531585693,0
NumModule2763462129,2022-03-02 15:09:36,86ms,b0c3363153084cee864a2a7d590190af,LOCAL,FINISHED,src.datamodules.num_datamodule.NumDatasetModule,16,,0,False,,,src.models.num_model.NumModule,,32,,,,,1e-08,5e-05,20,,500.0,,,,,,2586,5,0.01,,,,,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.9230769276618958,0,0.4482291638851166,0.0,0.0,0,0.6054752469062805,0,0.0,0,0.0,0,0.0,0
NumModule3730804195,2022-03-02 15:07:41,62ms,2eb218e251124783b2b3118d1f14ad8b,LOCAL,FINISHED,src.datamodules.num_datamodule.NumDatasetModule,16,,0,False,,,src.models.num_model.NumModule,,32,,,,,1e-08,5e-05,20,,300.0,,,,,,2586,5,0.01,,,,,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.6692307591438293,0,0.3901041746139526,0.0,0.0652173906564712,0,0.6695124506950378,0,0.0416666679084301,0,0.1500000059604644,0,0.0404040403664112,0
NumModule1128154083,2022-03-02 15:06:10,58ms,b6b77250fcd840d78057bc8f963a99d3,LOCAL,FINISHED,src.datamodules.num_datamodule.NumDatasetModule,16,,0,False,,,src.models.num_model.NumModule,,32,,,,,1e-08,5e-05,20,,100.0,,,,,,2586,5,0.01,,,,,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.8384615182876587,0,0.4844791293144226,0.0,0.0869565233588218,0,0.6333361268043518,0,0.0769230797886848,0,0.1000000014901161,0,0.1081081107258796,0
NumModule4165729464,2022-03-02 15:05:00,58ms,04aa883445784e448341cf65b8a81605,LOCAL,FINISHED,src.datamodules.num_datamodule.NumDatasetModule,16,,0,False,,,src.models.num_model.NumModule,,32,,,,,1e-08,5e-05,20,,180.0,,,,,,2586,5,0.01,,,,,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.7884615659713745,0,0.50822913646698,0.0,0.0983606576919555,0,0.6592525839805603,0,0.0731707289814949,0,0.1500000059604644,0,0.0434782616794109,0
NumModule736525268,2022-03-02 15:03:42,60ms,096fd9bf2a1b43b48d394cd448607059,LOCAL,FINISHED,src.datamodules.num_datamodule.NumDatasetModule,16,,0,False,,,src.models.num_model.NumModule,,32,,,,,1e-08,5e-05,20,,100.0,,,,,,2586,5,0.01,,,,,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.6000000238418579,0,0.4909375011920929,0.0,0.1475409865379333,0,0.6815170049667358,0,0.0882352963089943,0,0.449999988079071,0,0.1076923087239265,0
GraphAndNumModule1324766082,2022-03-02 15:02:33,71ms,c41492ca37bf45b3a6a835d033ac6394,LOCAL,FINISHED,src.datamodules.graph_and_num_datamodule.GraphAndNumModule,16,,0,False,,8.0,src.models.graph_and_num_model.GraphAndNumModule,29.0,32,,,,0.1,1e-08,5e-05,20,128.0,500.0,2.0,,,,,2586,5,0.01,,,,,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.7692307829856873,0,0.3988541662693023,0.0,0.0322580635547637,0,0.6346700191497803,0,0.0238095242530107,0,0.050000000745058,0,0.1034482792019844,0
GraphAndNumModule3472737524,2022-03-02 15:00:06,72ms,069d1597ae534e859ce1911f4b9d5f32,LOCAL,FINISHED,src.datamodules.graph_and_num_datamodule.GraphAndNumModule,16,,0,False,,8.0,src.models.graph_and_num_model.GraphAndNumModule,29.0,32,,,,0.1,1e-08,5e-05,20,128.0,300.0,2.0,,,,,2586,5,0.01,,,,,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.9076923131942748,0,0.6007291674613953,0.0,0.0,0,0.5224530696868896,0,0.0,0,0.0,0,0.1176470667123794,0
GraphAndNumModule2333245998,2022-03-02 14:58:02,98ms,1e74877272c948a5b9747d0492f947ff,LOCAL,FINISHED,src.datamodules.graph_and_num_datamodule.GraphAndNumModule,16,,0,False,,8.0,src.models.graph_and_num_model.GraphAndNumModule,29.0,32,,,,0.1,1e-08,5e-05,20,128.0,100.0,2.0,,,,,2586,5,0.01,,,,,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.7269230484962463,0,0.4065625071525574,0.0,0.0779220834374427,0,0.6493775248527527,0,0.0526315793395042,0,0.1500000059604644,0,0.0317460335791111,0
GraphAndNumModule3627349312,2022-03-02 14:56:26,69ms,a6c0d62080e447eb9adde27d5991f535,LOCAL,FINISHED,src.datamodules.graph_and_num_datamodule.GraphAndNumModule,16,,0,False,,8.0,src.models.graph_and_num_model.GraphAndNumModule,29.0,32,,,,0.1,1e-08,5e-05,20,128.0,180.0,2.0,,,,,2586,5,0.01,,,,,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.8230769038200378,0,0.5792708396911621,0.0,0.1481481492519378,0,0.6135876178741455,0,0.1176470592617988,0,0.2000000029802322,0,0.1538461595773697,0
GraphAndNumModule1316277585,2022-03-02 14:54:38,69ms,6d566d561d2e4a5f80655bf3ac964f2b,LOCAL,FINISHED,src.datamodules.graph_and_num_datamodule.GraphAndNumModule,16,,0,False,,8.0,src.models.graph_and_num_model.GraphAndNumModule,29.0,32,,,,0.1,1e-08,5e-05,20,128.0,100.0,2.0,,,,,2586,5,0.01,,,,,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.8230769038200378,0,0.4795833230018616,0.0,0.0416666679084301,0,0.6144738793373108,0,0.0357142873108387,0,0.050000000745058,0,0.1818181872367859,0
